flight,time,actual_altitude,measured_altitude,speed,actual_pitch,measured_pitch,roll,state
1,1,0,0.627764,0,0,0.105787,0,PARKED
1,2,0,-1.0898,0,0,-0.165222,0,PARKED
1,3,0,1.40207,15,0,0.0464042,0,TAXI
1,4,0,-0.649496,30,0,0.0127643,0,TAXI
1,5,0,-0.679363,45,0,0.12496,0,TAXI
1,6,100,101.633,60,10,10.3289,0,TAKEOFF
1,7,200,201.695,75,10,9.7622,0,TAKEOFF
1,8,300,300.497,90,10,9.87892,0,CLIMB
1,9,400,400.844,105,10,10.4615,0,CLIMB
1,10,500,499.373,120,10,9.82775,0,CLIMB
1,11,600,600.044,135,10,10.1876,0,CLIMB
1,12,700,701.723,150,25,24.9717,0,CLIMB
1,13,800,800.365,165,10,10.295,0,CLIMB
1,14,900,901.887,180,10,9.62524,0,CLIMB
1,15,1000,998.751,195,10,9.9903,0,CRUISE
1,16,1000,999.06,195,0,0.467501,0,CRUISE
1,17,1000,1000.16,195,0,0.151386,0,CRUISE
1,18,1000,999.781,195,0,0.304766,0,CRUISE
1,19,1000,999.793,195,0,-0.467719,0,CRUISE
1,20,1000,1000.64,195,0,-0.31844,0,CRUISE
1,21,900,900.982,195,-5,-5.15967,0,DESCENT
1,22,800,800.408,195,-5,-4.51646,0,DESCENT
1,23,700,698.416,195,-5,-4.761,0,DESCENT
1,24,600,601.941,195,-5,-4.82278,0,DESCENT
1,25,500,499.035,195,-5,-5.07717,0,DESCENT
1,26,400,400.541,195,-5,-4.54838,0,DESCENT
1,27,300,299.124,195,-5,-5.38468,0,DESCENT
1,28,200,201.284,195,-5,-4.62624,0,DESCENT
1,29,100,101.897,195,-5,-4.81758,0,DESCENT
1,30,0,0.311153,195,-5,-5.09348,0,LANDING
1,31,0,-1.67432,165,0,-0.187547,0,LANDING
1,32,0,-0.54649,135,0,-0.11295,0,LANDING
1,33,0,0.290583,105,0,-0.447007,0,LANDING
1,34,0,-1.76823,75,0,-0.0581825,0,LANDING
1,35,0,0.364527,45,0,-0.0110397,0,LANDING
1,36,0,-1.96477,15,0,0.342386,0,LANDING
1,37,0,-0.736428,0,0,-0.490785,0,PARKED
1,38,0,1.51344,0,0,0.321193,0,PARKED
1,39,0,0.65544,0,0,-0.457069,0,PARKED
1,40,0,1.80817,0,0,-0.391164,0,PARKED
2,1,0,1.68242,0,0,-0.227187,0,PARKED
2,2,0,-0.821955,0,0,0.16578,0,PARKED
2,3,0,-1.79742,15,0,-0.137488,0,TAXI
2,4,0,1.90454,30,0,-0.0497935,0,TAXI
2,5,0,1.65729,45,0,0.406227,0,TAXI
2,6,100,98.4346,60,10,10.1609,0,TAKEOFF
2,7,200,198.4,75,10,10.1903,0,TAKEOFF
2,8,300,298.681,90,10,10.0431,0,TAKEOFF
2,9,400,400.2,105,10,9.88437,0,CLIMB
2,10,500,500.987,120,10,10.0429,0,CLIMB
2,11,600,600.702,135,10,9.65261,0,CLIMB
2,12,700,699.804,150,25,24.8136,0,CLIMB
2,13,800,801.694,165,25,25.3316,0,CLIMB
2,14,900,899.85,180,25,25.0682,0,CLIMB
2,15,1000,1001.09,195,10,9.93579,0,CRUISE
2,16,1000,999.725,195,0,0.178341,0,CRUISE
2,17,1000,1001.59,195,0,-0.225756,0,CRUISE
2,18,1000,1000.11,195,0,0.452728,0,CRUISE
2,19,1000,1001.49,195,0,-0.336787,0,CRUISE
2,20,1000,998.636,195,0,0.133725,0,CRUISE
2,21,900,901.229,195,-5,-4.74847,0,DESCENT
2,22,800,799.244,195,-5,-5.16708,0,DESCENT
2,23,700,701.004,195,-5,-5.49887,0,DESCENT
2,24,600,598.388,195,-5,-4.66976,0,DESCENT
2,25,500,498.775,195,-5,-5.34379,0,DESCENT
2,26,400,398.224,195,-5,-5.14138,0,DESCENT
2,27,300,300.82,195,-5,-5.09095,0,DESCENT
2,28,200,199.824,195,-5,-5.45402,0,DESCENT
2,29,100,99.5236,195,-5,-4.60965,0,DESCENT
2,30,0,-1.6768,195,-5,-4.88165,0,LANDING
2,31,0,1.08882,165,0,-0.307261,0,LANDING
2,32,0,-0.324569,135,0,0.398323,0,LANDING
2,33,0,0.920852,105,0,-0.152581,0,LANDING
2,34,0,0.397964,75,0,0.0956871,0,LANDING
2,35,0,-1.15138,45,0,0.101655,0,LANDING
2,36,0,-1.23065,15,0,-0.131422,0,LANDING
2,37,0,-1.44813,0,0,0.0137875,0,PARKED
2,38,0,0.548684,0,0,-0.012208,0,PARKED
2,39,0,-1.7892,0,0,-0.437447,0,PARKED
2,40,0,-1.54672,0,0,-0.0228543,0,PARKED
